source_file,referenced_path,path_exists,status
00_project_blueprint\10_dataset_specification.md,data/processed/placementlens_students_clean.csv,True,PASS
00_project_blueprint\10_dataset_specification.md,data/raw/placementlens_students_raw.csv,True,PASS
00_project_blueprint\12_data_quality_rules.md,data/raw/placementlens_students_raw.csv,True,PASS
00_project_blueprint\20_project_architecture.md,data/processed/placementlens_students_clean.csv,True,PASS
00_project_blueprint\20_project_architecture.md,data/raw/placementlens_students_raw.csv,True,PASS
00_project_blueprint\23_phase_checkpoints.md,docs/AGENT_HANDOFF.md,True,PASS
00_project_blueprint\29_change_log.md,data/processed/placementlens_students_structural_clean.csv,True,PASS
00_project_blueprint\29_change_log.md,docs/phase2_to_phase3_handoff.md,True,PASS
00_project_blueprint\29_change_log.md,scripts/clean_dataset.py,True,PASS
00_project_blueprint\29_change_log.md,data/processed/placementlens_students_clean.csv,True,PASS
00_project_blueprint\29_change_log.md,docs/cleaning_pipeline.md,True,PASS
00_project_blueprint\29_change_log.md,scripts/validate_clean_dataset.py,True,PASS
00_project_blueprint\29_change_log.md,docs/final_data_contract.md,True,PASS
00_project_blueprint\29_change_log.md,scripts/clean_standardize.py,True,PASS
00_project_blueprint\29_change_log.md,docs/structural_cleaning_report.md,True,PASS
00_project_blueprint\29_change_log.md,docs/standardization_and_imputation.md,True,PASS
00_project_blueprint\29_change_log.md,docs/post_cleaning_quality_audit.md,True,PASS
00_project_blueprint\29_change_log.md,scripts/finalize_phase2.py,True,PASS
00_project_blueprint\29_change_log.md,outputs/cleaning/cleaning_rule_matrix.csv,True,PASS
00_project_blueprint\29_change_log.md,outputs/cleaning/cleaning_validation_rules.md,True,PASS
00_project_blueprint\29_change_log.md,docs/cleaning_strategy.md,True,PASS
00_project_blueprint\29_change_log.md,docs/AGENT_HANDOFF.md,True,PASS
00_project_blueprint\29_change_log.md,outputs/cleaning/expected_before_after_counts.csv,True,PASS
00_project_blueprint\29_change_log.md,scripts/clean_structural.py,True,PASS
00_project_blueprint\31_phase_1_part_1_completion_report.md,docs/dataset_strategy.md,True,PASS
00_project_blueprint\32_phase_1_part_2_completion_report.md,docs/data_model.md,True,PASS
00_project_blueprint\32_phase_1_part_2_completion_report.md,docs/erd.md,True,PASS
00_project_blueprint\32_phase_1_part_2_completion_report.md,data/raw/placementlens_students_raw.csv,True,PASS
00_project_blueprint\33_phase_1_part_3_completion_report.md,scripts/generate_dataset.py,True,PASS
00_project_blueprint\33_phase_1_part_3_completion_report.md,data/raw/raw_defect_manifest.csv,True,PASS
00_project_blueprint\33_phase_1_part_3_completion_report.md,data/raw/placement_raw.csv,False,WARNING
00_project_blueprint\33_phase_1_part_3_completion_report.md,data/raw/placementlens_students_raw.csv,True,PASS
00_project_blueprint\33_phase_1_part_3_completion_report.md,docs/dataset_generation.md,True,PASS
00_project_blueprint\34_phase_1_part_4_completion_report.md,data/raw/raw_defect_manifest.csv,True,PASS
00_project_blueprint\34_phase_1_part_4_completion_report.md,docs/initial_data_profile.md,True,PASS
