column,null_count,null_percentage_pct,expected_null_count,status
student_id,0,0.0,0,PASS
age,0,0.0,0,PASS
gender,0,0.0,0,PASS
branch,0,0.0,0,PASS
cgpa,0,0.0,0,PASS
internships,0,0.0,0,PASS
projects,0,0.0,0,PASS
coding_score,0,0.0,0,PASS
aptitude_score,0,0.0,0,PASS
communication_score,0,0.0,0,PASS
python_skill,0,0.0,0,PASS
sql_skill,0,0.0,0,PASS
excel_skill,0,0.0,0,PASS
power_bi_skill,0,0.0,0,PASS
dsa_skill,0,0.0,0,PASS
cloud_skill,0,0.0,0,PASS
cybersecurity_skill,0,0.0,0,PASS
placed,0,0.0,0,PASS
company_type,550,36.67,550,PASS
package_lpa,550,36.67,550,PASS
technical_skill_count,0,0.0,0,PASS
cgpa_band,0,0.0,0,PASS
coding_score_band,0,0.0,0,PASS
aptitude_score_band,0,0.0,0,PASS
communication_score_band,0,0.0,0,PASS
package_band,550,36.67,550,PASS
